gen,param,score0,score1
1,"[2, 1, 1, 0, 1, 1, 0, 2, 1, 2, 3, 3, 0, 1]",0.9554001688957214,9.507832745711008
2,"[1, 1, 1, 0, 0, 1, 0, 2, 1, 2, 3, 0, 1, 2]",0.9758001565933228,9.567389118671418
3,"[1, 1, 1, 0, 0, 1, 0, 2, 1, 2, 3, 0, 1, 2]",0.9758001565933228,9.567389118671418
4,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 0, 1, 2]",0.9778001308441162,8.456426668167115
5,"[1, 1, 1, 0, 0, 1, 0, 2, 1, 2, 3, 3, 1, 1]",0.9792001247406006,9.607673478126525
6,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 3, 0, 1]",0.9800000786781311,8.864761900901794
7,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 2, 0, 1, 1]",0.9809000492095947,9.450321650505066
8,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
9,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
10,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
11,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
12,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
13,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
14,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
15,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
16,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
17,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
18,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
19,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
20,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
21,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
22,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
23,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
24,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
25,"[1, 1, 1, 0, 0, 0, 0, 2, 1, 2, 3, 2, 0, 1]",0.9820001721382141,9.552548762162527
